,,*Liq. y B° en Bruto (antes de retenciones),,,,Fecha,14-07-2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proyectos,Fase,SL,Provincia,Municipio,Tipo Activo,Tipología,Canal,Partner,Formato de inversión,Contrato,Inv. Total. Est.,Invertido,FC Inicial,FC Final,B° Realizado,Est. B°,Fecha inicio,Fecha Fin,Est. Fin0,Retraso,Est. Fin1,% Ejecución,Est. TIR,Est. ROI,Meses,TIR,ROI,Link,Estado,Comentarios
Promoción Salou (24viv.),FASE 1,Inmoyield 1,Tarragona,Salou,Edificio,Obra nueva,Directo,Walmaria,Deuda,Préstamo participativo,,300.000 €,-300.000 €,,,105.000 €,02/02/2026,,2027-06,"-11,6",2027-06,"31,76%","18,00%","35,00%",17,"18,00%","35,00%",ver,Invertido,"11.983,56 € de intereses demora (clausula 1)"
Edificio Castellón,FASE 1,,Castellón,Castellón,WIP,WIP,Directo,Artal-Pro,Equity,En propiedad,,825.329 €,-825.329 €,1.256.079 €,430.750 €,431.463 €,01/12/2024,30/06/2025,6,"1.540,4",,"-1,29%","99,40%","49,70%",7,"106,78%","52,19%",ver,Pasada,
Trinidad 67,FASE 1,Inmoyield 1,Málaga,Málaga,Vivienda,Flipping,Directo,Re4M,Deuda,Préstamo Participativo,85.000 €,85.000 €,-85.000 €,,,17.850 €,04/12/2025,,2026-08,"-0,6",2026-10,"73,75%","36,00%","21,00%",8,"36,00%","21,00%",ver,Invertido,"15.06 Se ha tramitado la licencia para uso turístico, lo que elevará el valor del activo. Obra iniciada: Duración estimada 4 meses."
Promoción Salou (24viv.),FASE 2,Inmoyield 3,Tarragona,Salou,Edificio,Obra nueva,Directo,Walmaria,Deuda,Préstamo participativo,,450.000 €,-450.000 €,,,157.500 €,02/02/2026,,2027-06,"-11,6",2027-06,"31,76%","18,00%","35,00%",23,"18,00%","35,00%",ver,Invertido,"17.975,34 € de intereses demora (clausula 1)"
Guillem de Castro 8,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,150.000 €,-150.000 €,164.070 €,14.070 €,12.690 €,26/08/2024,01/05/2025,7,"1.540,3",,"-1,51%","14,91%","8,46%",8,"14,11%","9,38%",ver,Pasada,Reinvertida en Modesto Lafuente
GV Fernando el Católico,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,150.000 €,-150.000 €,168.900 €,18.900 €,20.625 €,24/02/2025,30/12/2025,2025-10,"9,5",,"-1,10%","16,50%","13,75%",10,"15,56%","12,60%",ver,Pasada,"11.12 Liquidación portal 21 por 82.994,70 €"
GV M del Turia,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,51.477 €,-51.477 €,56.249 €,4.772 €,5.148 €,15/01/2025,30/09/2025,2025-09-,"10,5",,"-1,19%","15,00%","10,00%",8,"13,36%","9,27%",ver,Pasada,Cobrado el 5 de Diciembre por error.
Xátiva - 29 Apartamentos,FASE 1,Inmoyield 1,Valencia,Xátiva,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,100.000 €,-100.000 €,,,14.870 €,22/12/2025,,2026-12,"-4,7",2026-12,"59,30%","14,78%","14,78%",11,,,ver,Invertido,
Agustina de Aragón 6,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,150.000 €,-150.000 €,151.153 €,1.153 €,21.981 €,28/02/2025,14/03/2025,5,"1.540,4",,"-1,10%","19,17%","8,00%",0,"22,09%","0,77%",ver,Pasada,Reinvertido en San Lucas
Alcántara 4,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.909 €,-250.909 €,256.836 €,5.927 €,27.475 €,30/12/2024,28/11/2025,2025-06-,"13,6",,"-1,23%","23,00%","10,00%",11,"2,59%","2,31%",,Pasada,
